k,l,distinct_combos,reid_risk,info_loss
2,,220,0.3484686651732106,0.15708812260536398
2,1.0,220,0.3484686651732106,0.15708812260536398
2,2.0,220,0.3484686651732106,0.15708812260536398
2,3.0,220,0.3484686651732106,0.15708812260536398
3,,206,0.3109859530976036,0.210727969348659
3,1.0,206,0.3109859530976036,0.210727969348659
3,2.0,206,0.3109859530976036,0.210727969348659
3,3.0,206,0.3109859530976036,0.210727969348659
4,,192,0.2961527115823991,0.26436781609195403
4,1.0,192,0.2961527115823991,0.26436781609195403
4,2.0,192,0.2961527115823991,0.26436781609195403
4,3.0,192,0.2961527115823991,0.26436781609195403
5,,169,0.2885576208801061,0.3524904214559387
5,1.0,169,0.2885576208801061,0.3524904214559387
5,2.0,169,0.2885576208801061,0.3524904214559387
5,3.0,169,0.2885576208801061,0.3524904214559387
